Date,Open,High,Low,Close,Adj Close,Volume
2020-09-14,0.304969,0.307630,0.285421,0.287337,0.287337,1390773
2020-09-15,0.287337,0.308384,0.281238,0.303036,0.303036,1492345
2020-09-16,0.303213,0.304797,0.277673,0.278407,0.278407,1419211
2020-09-17,0.278407,0.281881,0.260980,0.262100,0.262100,1269705
2020-09-18,0.262100,0.268120,0.258777,0.260980,0.260980,1203045
2020-09-19,0.260815,0.260921,0.212289,0.216205,0.216205,1236928
2020-09-20,0.216495,0.223164,0.213004,0.216318,0.216318,1125491
2020-09-21,0.216318,0.218254,0.192914,0.193871,0.193871,1108055
2020-09-22,0.194400,0.194864,0.164168,0.178160,0.178160,891909
2020-09-23,0.174603,0.182101,0.170973,0.172613,0.172613,1021754
2020-09-24,0.172436,0.174453,0.169352,0.170951,0.170951,876956
2020-09-25,0.171061,0.180073,0.169404,0.170977,0.170977,787208
2020-09-26,0.170768,0.175577,0.167453,0.171365,0.171365,782919
2020-09-27,0.171318,0.178465,0.166691,0.172232,0.172232,803278
2020-09-28,0.172107,0.173775,0.170175,0.171181,0.171181,652118
2020-09-29,0.171211,0.174186,0.170465,0.171665,0.171665,525590
2020-09-30,0.171642,0.174923,0.168246,0.170572,0.170572,794958
2020-10-01,0.170609,0.173822,0.167095,0.167647,0.167647,710535
2020-10-02,0.168009,0.173488,0.162163,0.163970,0.163970,688871
2020-10-03,0.163338,0.178588,0.163063,0.169457,0.169457,830182
2020-10-04,0.169518,0.170014,0.163819,0.165366,0.165366,812249
2020-10-05,0.165393,0.174618,0.160504,0.173895,0.173895,598559
2020-10-06,0.172834,0.177799,0.169066,0.172538,0.172538,617372
2020-10-07,0.172569,0.172767,0.164596,0.165519,0.165519,635980
2020-10-08,0.165513,0.167402,0.155028,0.156711,0.156711,531705
2020-10-09,0.157031,0.162295,0.155395,0.162243,0.162243,662727
2020-10-10,0.162268,0.172215,0.162262,0.167266,0.167266,642801
2020-10-11,0.166718,0.169586,0.162347,0.162469,0.162469,668207
2020-10-12,0.162441,0.170961,0.161898,0.162830,0.162830,658592
2020-10-13,0.163478,0.166606,0.160577,0.162447,0.162447,611104
2020-10-14,0.162534,0.164064,0.158053,0.158240,0.158240,655099
2020-10-15,0.158456,0.159998,0.153140,0.153402,0.153402,556731
2020-10-16,0.153405,0.153536,0.146962,0.148646,0.148646,543410
2020-10-17,0.148633,0.149794,0.147132,0.147340,0.147340,525446
2020-10-18,0.147635,0.150847,0.147237,0.149083,0.149083,528014
2020-10-19,0.148910,0.149711,0.147556,0.147777,0.147777,475779
2020-10-20,0.147905,0.148629,0.139188,0.140788,0.140788,443289
2020-10-21,0.140805,0.141708,0.136956,0.137440,0.137440,404835
2020-10-22,0.137709,0.141630,0.134745,0.141373,0.141373,402886
2020-10-23,0.141522,0.142297,0.134430,0.134472,0.134472,193258
2020-10-24,0.134472,0.135382,0.123222,0.123902,0.123902,114180
2020-10-25,0.123902,0.126094,0.120353,0.123244,0.123244,534549
2020-10-26,0.123244,0.123397,0.114421,0.116967,0.116967,537629
2020-10-27,0.116967,0.117857,0.111896,0.112122,0.112122,79446
2020-10-28,0.112122,0.114203,0.080366,0.091247,0.091247,496793
2020-10-29,0.091247,0.100282,0.088556,0.095696,0.095696,344042
2020-10-30,0.095696,0.097050,0.090532,0.090534,0.090534,410126
2020-10-31,0.090534,0.095015,0.090534,0.093999,0.093999,362877
2020-11-01,0.093999,0.094475,0.087810,0.091390,0.091390,447104
2020-11-02,0.091390,0.096141,0.089368,0.095769,0.095769,94762
2020-11-03,0.095769,0.098324,0.088219,0.098205,0.098205,60803
2020-11-04,0.098205,0.099935,0.088702,0.097158,0.097158,86943
2020-11-05,0.097158,0.101933,0.093256,0.101809,0.101809,439461
2020-11-06,0.101809,0.102022,0.093393,0.099640,0.099640,352929
2020-11-07,0.099640,0.110548,0.095498,0.107211,0.107211,194543
2020-11-08,0.107211,0.131819,0.100687,0.119936,0.119936,229714
2020-11-09,0.119937,0.229368,0.111481,0.154925,0.154925,299956
2020-11-10,0.154924,0.199987,0.133946,0.171539,0.171539,367687
2020-11-11,0.171544,0.174069,0.143876,0.153077,0.153077,631867
2020-11-12,0.153075,0.153997,0.125796,0.134624,0.134624,382558
2020-11-13,0.134624,0.136005,0.123541,0.128628,0.128628,113742
2020-11-14,0.128650,0.133343,0.120857,0.123338,0.123338,194370
2020-11-15,0.124315,0.126876,0.110743,0.112526,0.112526,115875
2020-11-16,0.112506,0.118496,0.109205,0.114994,0.114994,299071
2020-11-17,0.114895,0.118870,0.110854,0.116723,0.116723,573777
2020-11-18,0.116723,0.120524,0.114942,0.115991,0.115991,189056
2020-11-19,0.115991,0.116515,0.103417,0.109381,0.109381,529656
2020-11-20,0.109380,0.114409,0.103793,0.111557,0.111557,192627
2020-11-21,0.111556,0.125315,0.111556,0.122114,0.122114,509024
2020-11-22,0.122114,0.128815,0.109599,0.115478,0.115478,34140
2020-11-23,0.115470,0.136798,0.115250,0.136693,0.136693,506697
2020-11-24,0.136702,0.140675,0.120055,0.130620,0.130620,493440
2020-11-25,0.130620,0.131482,0.119400,0.124813,0.124813,368084
2020-11-26,0.124810,0.125308,0.102929,0.108772,0.108772,225452
2020-11-27,0.108805,0.113516,0.104666,0.105540,0.105540,407123
2020-11-28,0.105541,0.116901,0.104112,0.115489,0.115489,404919
2020-11-29,0.115491,0.116206,0.109353,0.113435,0.113435,121694
2020-11-30,0.113433,0.127390,0.111312,0.125432,0.125432,218022
2020-12-01,0.125430,0.135571,0.120701,0.135522,0.135522,237828
2020-12-02,0.135524,0.150928,0.131830,0.150255,0.150255,493572
2020-12-03,0.150255,0.170199,0.145840,0.161368,0.161368,449100
2020-12-04,0.161365,0.161558,0.144373,0.144610,0.144610,162997
2020-12-05,0.144602,0.147784,0.132834,0.135529,0.135529,122696
2020-12-06,0.135530,0.139358,0.130715,0.134267,0.134267,85703
2020-12-07,0.134283,0.165841,0.126544,0.149690,0.149690,620711
2020-12-08,0.149696,0.150037,0.134913,0.135468,0.135468,29271
2020-12-09,0.135466,0.136207,0.117711,0.127770,0.127770,43401
2020-12-10,0.127766,0.128934,0.118713,0.125900,0.125900,163063
2020-12-11,0.125893,0.129472,0.119375,0.122180,0.122180,309081
2020-12-12,0.122311,0.122834,0.116970,0.120275,0.120275,41897
2020-12-13,0.120263,0.125144,0.119217,0.122936,0.122936,92377
2020-12-14,0.122916,0.123489,0.120422,0.121701,0.121701,101110
2020-12-15,0.121672,0.122611,0.114914,0.121415,0.121415,91512
2020-12-16,0.121406,0.130410,0.117898,0.128742,0.128742,325328
2020-12-17,0.128751,0.130186,0.123618,0.125111,0.125111,248749
2020-12-18,0.125074,0.131964,0.123178,0.130644,0.130644,375492
2020-12-19,0.130641,0.132989,0.129887,0.130261,0.130261,217946
2020-12-20,0.130260,0.131862,0.128439,0.129299,0.129299,302132
2020-12-21,0.129299,0.131827,0.123598,0.125319,0.125319,146260
2020-12-22,0.125235,0.126292,0.120376,0.124527,0.124527,414255
2020-12-23,0.121916,0.124486,0.116772,0.119897,0.119897,197539
2020-12-24,0.119871,0.120706,0.111718,0.119485,0.119485,418599
2020-12-25,0.119480,0.131374,0.116621,0.129054,0.129054,213870
2020-12-26,0.129048,0.129715,0.117312,0.121427,0.121427,103964
2020-12-27,0.121439,0.131624,0.121172,0.131226,0.131226,212840
2020-12-28,0.131203,0.141019,0.129645,0.140756,0.140756,408963
2020-12-29,0.140753,0.140821,0.121770,0.122619,0.122619,103496
2020-12-30,0.122619,0.127211,0.117392,0.122734,0.122734,326568
2020-12-31,0.122737,0.123612,0.117722,0.121478,0.121478,326053
2021-01-01,0.121475,0.126429,0.119927,0.123400,0.123400,157441
2021-01-02,0.123403,0.129482,0.122446,0.128673,0.128673,572269
2021-01-03,0.128704,0.129331,0.098262,0.106316,0.106316,451414
2021-01-04,0.106298,0.120312,0.106045,0.120178,0.120178,502248
2021-01-05,0.120174,0.122417,0.116046,0.122184,0.122184,281688
2021-01-06,0.122185,0.125711,0.116932,0.124314,0.124314,418158
2021-01-07,0.124304,0.127586,0.118467,0.120715,0.120715,158324
2021-01-08,0.120806,0.123818,0.113745,0.119470,0.119470,357058
2021-01-09,0.119464,0.121365,0.114289,0.121305,0.121305,444281
2021-01-10,0.121300,0.124287,0.111276,0.117517,0.117517,374197
2021-01-11,0.117504,0.119736,0.097333,0.117790,0.117790,412075
2021-01-12,0.117809,0.121492,0.115133,0.119184,0.119184,410258
2021-01-13,0.119192,0.125900,0.113879,0.124478,0.124478,394006
2021-01-14,0.124484,0.134684,0.120732,0.133372,0.133372,542637
2021-01-15,0.133368,0.134562,0.123357,0.130386,0.130386,530884
2021-01-16,0.130377,0.136897,0.130147,0.134587,0.134587,509364
2021-01-17,0.134574,0.138099,0.130260,0.137183,0.137183,491829
2021-01-18,0.137186,0.152018,0.137068,0.151708,0.151708,544560
2021-01-19,0.151666,0.189360,0.151634,0.189221,0.189221,887041
2021-01-20,0.189220,0.189220,0.169328,0.172847,0.172847,1089018
2021-01-21,0.172842,0.175336,0.159270,0.160781,0.160781,970049
2021-01-22,0.160789,0.160789,0.138510,0.142705,0.142705,830387
2021-01-23,0.142690,0.166037,0.141126,0.165246,0.165246,858382
2021-01-24,0.165244,0.186942,0.164188,0.186090,0.186090,1211716
2021-01-25,0.186084,0.253004,0.186084,0.213243,0.213243,907466
2021-01-26,0.213266,0.219406,0.173575,0.186704,0.186704,594107
2021-01-27,0.186713,0.193652,0.183174,0.190240,0.190240,1352144
2021-01-28,0.190237,0.233788,0.183148,0.232386,0.232386,1661862
2021-01-29,0.236751,0.237740,0.185158,0.197092,0.197092,1613095
2021-01-30,0.197115,0.236377,0.191545,0.234070,0.234070,1532992
2021-01-31,0.234043,0.321149,0.234043,0.285662,0.285662,2295870
2021-02-01,0.285658,0.300348,0.266345,0.282878,0.282878,2010444
2021-02-02,0.282874,0.284457,0.260315,0.264686,0.264686,1713705
2021-02-03,0.264702,0.270890,0.252970,0.264512,0.264512,2168272
2021-02-04,0.264520,0.298501,0.256756,0.263459,0.263459,1919622
2021-02-05,0.263442,0.275162,0.252023,0.260438,0.260438,1351689
2021-02-06,0.260433,0.260433,0.215311,0.236496,0.236496,996561
2021-02-07,0.236488,0.237985,0.214915,0.219679,0.219679,1226943
2021-02-08,0.219679,0.233008,0.217530,0.232986,0.232986,1567297
2021-02-09,0.232990,0.237457,0.224742,0.228725,0.228725,1338935
2021-02-10,0.228733,0.248414,0.220320,0.243407,0.243407,1704592
2021-02-11,0.243375,0.294477,0.238190,0.292150,0.292150,2250123
2021-02-12,0.292140,0.390074,0.281036,0.382368,0.382368,1548841
2021-02-13,0.382343,0.543920,0.342163,0.528458,0.528458,3428326
2021-02-14,0.528514,0.770976,0.483010,0.677342,0.677342,5395480
2021-02-15,0.677319,0.847209,0.600961,0.821818,0.821818,4486440
2021-02-16,0.821898,0.884193,0.766552,0.833681,0.833681,1235729
2021-02-17,0.833836,0.840538,0.530816,0.594628,0.594628,3849667
2021-02-18,0.594632,0.609220,0.519976,0.525819,0.525819,1526309
2021-02-19,0.525721,0.543443,0.483985,0.499077,0.499077,1691339
2021-02-20,0.499060,0.506556,0.418910,0.428738,0.428738,821759
2021-02-21,0.428733,0.437864,0.382073,0.418500,0.418500,2822277
2021-02-22,0.418479,0.462325,0.395489,0.462088,0.462088,2497304
2021-02-23,0.462034,0.480335,0.367320,0.392018,0.392018,2123182
2021-02-24,0.392063,0.479674,0.386756,0.469262,0.469262,2535701
2021-02-25,0.469277,0.512038,0.437107,0.478118,0.478118,1810990
2021-02-26,0.477687,0.496817,0.439147,0.477584,0.477584,990492
